reader_timestamp,reader_command,tag_timestamp,tag_command,round_trip_us
3532,QueryAdjust,3864,QueryAdjust,332
6988,QueryAdjust,7308,QueryAdjust,320
9053,Ack,9399,QueryAdjust,346
9343,QueryAdjust,9399,QueryAdjust,56
12423,QueryAdjust,12771,QueryAdjust,348
15650,QueryAdjust,15707,Query,57
17722,Ack,18158,QueryAdjust,436
18012,QueryAdjust,18158,QueryAdjust,146
21034,QueryAdjust,21447,QueryAdjust,413
24496,QueryAdjust,24730,QueryAdjust,234
26576,Ack,26841,QueryAdjust,265
29955,QueryAdjust,30198,QueryAdjust,243
31560,Query,31948,Query,388
33368,QueryAdjust,33473,QueryAdjust,105
35204,Query,35614,QueryAdjust,410
35440,Ack,35614,QueryAdjust,174
38741,QueryAdjust,39022,QueryAdjust,281
40320,Query,40792,Query,472
42122,QueryAdjust,42276,QueryAdjust,154
49636,QueryAdjust,49825,Ack,189
52005,QueryAdjust,52362,Query,357
52816,QueryAdjust,53264,QueryAdjust,448
56507,Query,56597,QueryAdjust,90
58343,QueryAdjust,58372,Query,29
60702,QueryAdjust,61065,Query,363
61480,QueryAdjust,61946,QueryAdjust,466
63510,QueryAdjust,63552,Query,42
65071,Query,65219,QueryAdjust,148
66876,QueryAdjust,66909,Query,33
69239,QueryAdjust,69636,Query,397
69398,QueryAdjust,69636,Query,238
70211,QueryAdjust,70480,QueryAdjust,269
75775,QueryAdjust,75862,Ack,87
77963,Ack,78317,Query,354
78254,QueryAdjust,78317,Query,63
78891,Query,79200,QueryAdjust,309
80403,Query,80835,Query,432
84744,QueryAdjust,84877,QueryAdjust,133
86809,Ack,87087,Query,278
87764,Query,87961,QueryAdjust,197
89384,Query,89564,Query,180
93595,QueryAdjust,93711,QueryAdjust,116
95551,Query,95894,Query,343
95787,Ack,95894,Query,107
96807,Query,96835,QueryAdjust,28
98258,Query,98433,Query,175
102773,QueryAdjust,103170,Query,397
104713,Query,104782,Query,69
105240,QueryAdjust,105657,QueryAdjust,417
105398,QueryAdjust,105657,QueryAdjust,259
111817,QueryAdjust,111948,Query,131
113843,Query,114324,QueryAdjust,481
114099,Ack,114324,QueryAdjust,225
115447,QueryAdjust,115909,Query,462
